('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-01-01 00:00:00', '354', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-02-01 00:00:00', '678', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-03-01 00:00:00', '1039', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-04-01 00:00:00', '1392', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-05-01 00:00:00', '1748', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-06-01 00:00:00', '2108', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-07-01 00:00:00', '2471', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-08-01 00:00:00', '2838', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-09-01 00:00:00', '3208', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-10-01 00:00:00', '3582', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-11-01 00:00:00', '3959', 'SAS', '8', '1', '1'),
('1','Ѕазовый/ѕлан/SAS/2/1 мес€ц','00022','¬ыполнение ремонтных работ всеми видами ремонта, км', 'км', '90', '51', '127', '86', '4', '2', '228', '5', '44', '2018-12-01 00:00:00', '4340', 'SAS', '8', '1', '1'),
('2','Ѕазовый/ѕлан/NSAS/12/1 мес€ц','00003','ѕассажирооборот всего', 'млн. пасс-км', '90', '51', '127', '86', '4', '12', '228', '5', '37', '2018-01-01 00:00:00', '526654.288', 'NSAS', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-03-01 00:00:00', '747', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-04-01 00:00:00', '998', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-05-01 00:00:00', '1247', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-06-01 00:00:00', '1500', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-07-01 00:00:00', '1752', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-08-01 00:00:00', '2007', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-09-01 00:00:00', '2263', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-10-01 00:00:00', '2514', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-11-01 00:00:00', '2772', 'ARM', '8', '1', '1'),
('3','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-12-01 00:00:00', '3022', 'ARM', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-01-01 00:00:00', '542', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-02-01 00:00:00', '1085', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-03-01 00:00:00', '1629', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-04-01 00:00:00', '2174', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-05-01 00:00:00', '2720', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-06-01 00:00:00', '3267', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-07-01 00:00:00', '3815', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-08-01 00:00:00', '4364', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-09-01 00:00:00', '4914', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-10-01 00:00:00', '5465', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-11-01 00:00:00', '6017', 'ASRB', '8', '1', '1'),
('4','Ѕазовый/ѕлан/ASRB/12/1 мес€ц','00141','Ёксплуатируемый парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '12', '228', '5', '38', '2018-12-01 00:00:00', '6570', 'ASRB', '8', '1', '1'),
('5','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-02-01 00:00:00', '249', 'ARM', '8', '1', '1'),
('5','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-03-01 00:00:00', '499', 'ARM', '8', '1', '1'),
('5','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-04-01 00:00:00', '750', 'ARM', '8', '1', '1'),
('5','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-05-01 00:00:00', '999', 'ARM', '8', '1', '1'),
('5','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-07-01 00:00:00', '1251', 'ARM', '8', '1', '1'),
('5','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-08-01 00:00:00', '1506', 'ARM', '8', '1', '1'),
('5','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-09-01 00:00:00', '1762', 'ARM', '8', '1', '1'),
('5','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-10-01 00:00:00', '2013', 'ARM', '8', '1', '1'),
('5','Ѕазовый/ѕлан/ARM/12/1 мес€ц','00144','–абочий парк в грузовом движении. “епловозы (базовый)', 'т€г.ед.', '152', '10', '127', '86', '4', '2', '228', '5', '38', '2018-11-01 00:00:00', '2271', 'ARM', '8', '1', '1')
