('1','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-01-01 00:00:00', '250', 'SAS', '8', '1', '1'),
('8','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '5', '46', '2018-08-01 00:00:00', '100', 'SAS', '8', '1', '1'),
('9','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '5', '46', '2018-09-01 00:00:00', '200', 'SAS', '8', '1', '1'),
('10','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '5', '46', '2018-10-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('11','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '5', '46', '2018-11-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('12','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '5', '46', '2018-12-01 00:00:00', '200', 'SAS', '8', '1', '1'),
('1','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-01-01 00:00:00', '112', 'SAS', '8', '1', '1'),
('2','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-02-01 00:00:00', '222', 'SAS', '8', '1', '1'),
('3','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-03-01 00:00:00', '133', 'SAS', '8', '1', '1'),
('4','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-04-01 00:00:00', '176.666666666667', 'SAS', '8', '1', '1'),
('5','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-05-01 00:00:00', '187.166666666667', 'SAS', '8', '1', '1'),
('6','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-06-01 00:00:00', '197.666666666667', 'SAS', '8', '1', '1'),
('7','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-07-01 00:00:00', '208.166666666667', 'SAS', '8', '1', '1'),
('8','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-08-01 00:00:00', '218.666666666667', 'SAS', '8', '1', '1'),
('9','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-09-01 00:00:00', '229.166666666667', 'SAS', '8', '1', '1'),
('10','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-10-01 00:00:00', '239.666666666667', 'SAS', '8', '1', '1'),
('11','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-11-01 00:00:00', '250.166666666667', 'SAS', '8', '1', '1'),
('12','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-12-01 00:00:00', '260.666666666667', 'SAS', '8', '1', '1'),
('1','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-01-01 00:00:00', '56', 'SAS', '8', '1', '1'),
('2','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-02-01 00:00:00', '75', 'SAS', '8', '1', '1'),
('3','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-03-01 00:00:00', '58', 'SAS', '8', '1', '1'),
('4','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-04-01 00:00:00', '60', 'SAS', '8', '1', '1'),
('5','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-05-01 00:00:00', '71', 'SAS', '8', '1', '1'),
('6','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-06-01 00:00:00', '55', 'SAS', '8', '1', '1'),
('7','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-07-01 00:00:00', '69', 'SAS', '8', '1', '1'),
('8','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-08-01 00:00:00', '77', 'SAS', '8', '1', '1'),
('9','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-09-01 00:00:00', '88', 'SAS', '8', '1', '1'),
('10','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-10-01 00:00:00', '56', 'SAS', '8', '1', '1'),
('11','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-11-01 00:00:00', '59', 'SAS', '8', '1', '1'),
('12','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '5', '39', '2018-12-01 00:00:00', '67', 'SAS', '8', '1', '1'),
('1','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-01-01 00:00:00', '70', 'SAS', '8', '1', '1'),
('2','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-02-01 00:00:00', '55', 'SAS', '8', '1', '1'),
('3','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-03-01 00:00:00', '70', 'SAS', '8', '1', '1'),
('4','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-04-01 00:00:00', '80', 'SAS', '8', '1', '1'),
('5','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-05-01 00:00:00', '90', 'SAS', '8', '1', '1'),
('6','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-06-01 00:00:00', '88', 'SAS', '8', '1', '1'),
('7','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-07-01 00:00:00', '69', 'SAS', '8', '1', '1'),
('8','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-08-01 00:00:00', '77', 'SAS', '8', '1', '1'),
('9','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-09-01 00:00:00', '88', 'SAS', '8', '1', '1'),
('10','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-10-01 00:00:00', '56', 'SAS', '8', '1', '1'),
('11','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-11-01 00:00:00', '59', 'SAS', '8', '1', '1'),
('12','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '5', '69', '2018-12-01 00:00:00', '67', 'SAS', '8', '1', '1'),
('13','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-01-01 00:00:00', '250', 'SAS', '8', '1', '1'),
('14','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-02-01 00:00:00', '300', 'SAS', '8', '1', '1'),
('15','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-03-01 00:00:00', '189', 'SAS', '8', '1', '1'),
('16','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-04-01 00:00:00', '99', 'SAS', '8', '1', '1'),
('17','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-05-01 00:00:00', '34', 'SAS', '8', '1', '1'),
('18','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-06-01 00:00:00', '65', 'SAS', '8', '1', '1'),
('19','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-07-01 00:00:00', '120', 'SAS', '8', '1', '1'),
('20','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-08-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('21','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-09-01 00:00:00', '201', 'SAS', '8', '1', '1'),
('22','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-10-01 00:00:00', '270', 'SAS', '8', '1', '1'),
('23','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-11-01 00:00:00', '300', 'SAS', '8', '1', '1'),
('24','','00011','Средний вес грузового поезда', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-12-01 00:00:00', '287', 'SAS', '8', '1', '1'),
('13','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-01-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('14','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-02-01 00:00:00', '250', 'SAS', '8', '1', '1'),
('15','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-03-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('16','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-04-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('17','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-05-01 00:00:00', '120', 'SAS', '8', '1', '1'),
('18','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-06-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('19','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-07-01 00:00:00', '100', 'SAS', '8', '1', '1'),
('20','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-08-01 00:00:00', '100', 'SAS', '8', '1', '1'),
('21','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-09-01 00:00:00', '200', 'SAS', '8', '1', '1'),
('22','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-10-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('23','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-11-01 00:00:00', '150', 'SAS', '8', '1', '1'),
('24','','00032','Процент порожнего пробега к общему в грузовом движении', '%', '90', '51', '127', '86', '4', '12', '228', '7', '46', '2018-12-01 00:00:00', '200', 'SAS', '8', '1', '1'),
('13','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-01-01 00:00:00', '112', 'SAS', '8', '1', '1'),
('14','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-02-01 00:00:00', '222', 'SAS', '8', '1', '1'),
('15','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-03-01 00:00:00', '133', 'SAS', '8', '1', '1'),
('16','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-04-01 00:00:00', '176.666666666667', 'SAS', '8', '1', '1'),
('17','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-05-01 00:00:00', '187.166666666667', 'SAS', '8', '1', '1'),
('18','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-06-01 00:00:00', '197.666666666667', 'SAS', '8', '1', '1'),
('19','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-07-01 00:00:00', '208.166666666667', 'SAS', '8', '1', '1'),
('20','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-08-01 00:00:00', '218.666666666667', 'SAS', '8', '1', '1'),
('21','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-09-01 00:00:00', '229.166666666667', 'SAS', '8', '1', '1'),
('22','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-10-01 00:00:00', '239.666666666667', 'SAS', '8', '1', '1'),
('23','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-11-01 00:00:00', '250.166666666667', 'SAS', '8', '1', '1'),
('24','','00036','Средняя динамическая нагрузка на груженый вагон в грузовом движении', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-12-01 00:00:00', '260.666666666667', 'SAS', '8', '1', '1'),
('13','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-01-01 00:00:00', '56', 'SAS', '8', '1', '1'),
('14','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-02-01 00:00:00', '75', 'SAS', '8', '1', '1'),
('15','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-03-01 00:00:00', '58', 'SAS', '8', '1', '1'),
('16','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-04-01 00:00:00', '60', 'SAS', '8', '1', '1'),
('17','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-05-01 00:00:00', '71', 'SAS', '8', '1', '1'),
('18','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-06-01 00:00:00', '55', 'SAS', '8', '1', '1'),
('19','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-07-01 00:00:00', '69', 'SAS', '8', '1', '1'),
('20','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-08-01 00:00:00', '77', 'SAS', '8', '1', '1'),
('21','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-09-01 00:00:00', '88', 'SAS', '8', '1', '1'),
('22','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-10-01 00:00:00', '56', 'SAS', '8', '1', '1'),
('23','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-11-01 00:00:00', '59', 'SAS', '8', '1', '1'),
('24','','00030','Вес тары ', 'тонн', '90', '51', '127', '86', '4', '17', '228', '7', '39', '2018-12-01 00:00:00', '67', 'SAS', '8', '1', '1'),
('13','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-01-01 00:00:00', '70', 'SAS', '8', '1', '1'),
('14','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-02-01 00:00:00', '55', 'SAS', '8', '1', '1'),
('15','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-03-01 00:00:00', '70', 'SAS', '8', '1', '1'),
('16','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-04-01 00:00:00', '80', 'SAS', '8', '1', '1'),
('17','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-05-01 00:00:00', '90', 'SAS', '8', '1', '1'),
('18','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-06-01 00:00:00', '88', 'SAS', '8', '1', '1'),
('19','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-07-01 00:00:00', '69', 'SAS', '8', '1', '1'),
('20','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-08-01 00:00:00', '77', 'SAS', '8', '1', '1'),
('21','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-09-01 00:00:00', '88', 'SAS', '8', '1', '1'),
('22','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-10-01 00:00:00', '56', 'SAS', '8', '1', '1'),
('23','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-11-01 00:00:00', '59', 'SAS', '8', '1', '1'),
('24','','00028','Средний состав поезда', 'вагон', '90', '51', '127', '86', '4', '17', '228', '7', '69', '2018-12-01 00:00:00', '67', 'SAS', '8', '1', '1')
