('1','Факт/Базовый/SAS/1ый месяц год/первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-01-01 00:00:00', '570.118699999999', 'SAS', '8', '1', '1'),
('10','Факт/Базовый/SAS/4 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('10','Факт/Базовый/SAS/4 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('10','Факт/Базовый/SAS/4 месяца года/перый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-04-01 00:00:00', '487.2312314', 'SAS', '8', '1', '1'),
('11','Факт/Базовый/SAS/4 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('11','Факт/Базовый/SAS/4 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('11','Факт/Базовый/SAS/4 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('11','Факт/Базовый/SAS/4 месяца года/не перый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-04-09 00:00:00', '4983.1231445', 'SAS', '8', '1', '1'),
('12','Факт/Базовый/SAS/4 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('12','Факт/Базовый/SAS/4 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('12','Факт/Базовый/SAS/4 месяца года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('12','Факт/Базовый/SAS/4 месяца года/последний день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-04-30 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('13','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('13','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('13','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('13','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('13','Факт/Базовый/SAS/5 м года/первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-05-01 00:00:00', '492.2313554', 'SAS', '8', '1', '1'),
('14','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('14','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('14','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('14','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('14','Факт/Базовый/SAS/5 м года/не первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-05-06 00:00:00', '2899.23123145', 'SAS', '8', '1', '1'),
('15','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('15','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('15','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('15','Факт/Базовый/SAS/5 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('15','Факт/Базовый/SAS/5 м года/последний день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-05-31 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('16','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('16','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('16','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('16','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('16','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-05-01 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('16','Факт/Базовый/SAS/6 м года/первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-06-01 00:00:00', '445.23123145', 'SAS', '8', '1', '1'),
('17','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('17','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('17','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('17','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('17','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-05-01 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('17','Факт/Базовый/SAS/6 м года/не первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-06-11 00:00:00', '5089.2131232141', 'SAS', '8', '1', '1'),
('18','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('18','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('18','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('18','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('18','Факт/Базовый/SAS/6 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-05-01 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('18','Факт/Базовый/SAS/6 м года/последний день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-06-30 00:00:00', '15036.656488465', 'SAS', '8', '1', '1'),
('19','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('19','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('19','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('19','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('19','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-05-01 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('19','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-06-01 00:00:00', '15036.656488465', 'SAS', '8', '1', '1'),
('19','Факт/Базовый/SAS/7 м года/первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-07-01 00:00:00', '488.54566546', 'SAS', '8', '1', '1'),
('20','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('20','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('20','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('20','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('20','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-05-01 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('20','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-06-01 00:00:00', '15036.656488465', 'SAS', '8', '1', '1'),
('20','Факт/Базовый/SAS/7 м года/не первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-07-08 00:00:00', '4050.234234234', 'SAS', '8', '1', '1'),
('21','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('21','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('21','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('21','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('21','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-05-01 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('21','Факт/Базовый/SAS/7 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-06-01 00:00:00', '15036.656488465', 'SAS', '8', '1', '1'),
('21','Факт/Базовый/SAS/7 м года/последний день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-07-31 00:00:00', '15020.231242113', 'SAS', '8', '1', '1'),
('22','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('22','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('22','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('22','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('22','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-05-01 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('22','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-06-01 00:00:00', '15036.656488465', 'SAS', '8', '1', '1'),
('22','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-07-01 00:00:00', '15020.231242113', 'SAS', '8', '1', '1'),
('22','Факт/Базовый/SAS/8 м года/первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-08-01 00:00:00', '478.3423425352', 'SAS', '8', '1', '1'),
('23','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('23','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('23','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('23','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('23','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-05-01 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('23','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-06-01 00:00:00', '15036.656488465', 'SAS', '8', '1', '1'),
('23','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-07-01 00:00:00', '15020.231242113', 'SAS', '8', '1', '1'),
('23','Факт/Базовый/SAS/8 м года/не первый день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-08-15 00:00:00', '7398.312414124', 'SAS', '8', '1', '1'),
('24','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('24','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('24','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
('24','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-04-01 00:00:00', '14830.123215', 'SAS', '8', '1', '1'),
('24','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-05-01 00:00:00', '14345.1241245', 'SAS', '8', '1', '1'),
('24','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-06-01 00:00:00', '15036.656488465', 'SAS', '8', '1', '1'),
('24','Факт/Базовый/SAS/8 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-07-01 00:00:00', '15020.231242113', 'SAS', '8', '1', '1'),
('24','Факт/Базовый/SAS/8 м года/последний день месяца','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '3', '17', '228', '3', '41', '2018-08-31 00:00:00', '15100.32426634', 'SAS', '8', '1', '1'),
('25','Факт/Базовый/SAS/9 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-01-01 00:00:00', '13900.1186999999', 'SAS', '8', '1', '1'),
('25','Факт/Базовый/SAS/9 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-02-01 00:00:00', '12983.2312344', 'SAS', '8', '1', '1'),
('25','Факт/Базовый/SAS/9 м года/целый месяц','00002','Тарифный грузооборот (млн.ткм)', 'млн.ткм', '149', '96', '127', '86', '4', '17', '228', '7', '41', '2018-03-01 00:00:00', '13234.3142455', 'SAS', '8', '1', '1'),
