('1','Факт/Среднесуточный/SAS/1ый месяц год/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-01-01 00:00:00', '145.95', 'SAS', '8', '1', '1'),
('8','Факт/Среднесуточный/SAS/3 месяца года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-03-04 00:00:00', '122.231231414', 'SAS', '8', '1', '1'),
('9','Факт/Среднесуточный/SAS/3 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('9','Факт/Среднесуточный/SAS/3 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('9','Факт/Среднесуточный/SAS/3 месяца года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-03-31 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('10','Факт/Среднесуточный/SAS/4 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('10','Факт/Среднесуточный/SAS/4 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('10','Факт/Среднесуточный/SAS/4 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('10','Факт/Среднесуточный/SAS/4 месяца года/перый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-04-01 00:00:00', '123.2321312312', 'SAS', '8', '1', '1'),
('11','Факт/Среднесуточный/SAS/4 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('11','Факт/Среднесуточный/SAS/4 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('11','Факт/Среднесуточный/SAS/4 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('11','Факт/Среднесуточный/SAS/4 месяца года/не перый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-04-11 00:00:00', '145.32342342342', 'SAS', '8', '1', '1'),
('12','Факт/Среднесуточный/SAS/4 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('12','Факт/Среднесуточный/SAS/4 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('12','Факт/Среднесуточный/SAS/4 месяца года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('12','Факт/Среднесуточный/SAS/4 месяца года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-04-30 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('13','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('13','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('13','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('13','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('13','Факт/Среднесуточный/SAS/5 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-05-01 00:00:00', '121.23123123', 'SAS', '8', '1', '1'),
('14','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('14','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('14','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('14','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('14','Факт/Среднесуточный/SAS/5 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-05-05 00:00:00', '154.23123123', 'SAS', '8', '1', '1'),
('15','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('15','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('15','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('15','Факт/Среднесуточный/SAS/5 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('15','Факт/Среднесуточный/SAS/5 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-05-31 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
('16','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('16','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('16','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('16','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('16','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-05-01 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
('16','Факт/Среднесуточный/SAS/6 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-06-01 00:00:00', '121.231123', 'SAS', '8', '1', '1'),
('17','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('17','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('17','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('17','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('17','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-05-01 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
('17','Факт/Среднесуточный/SAS/6 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-06-08 00:00:00', '145.2323132123', 'SAS', '8', '1', '1'),
('18','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('18','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('18','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('18','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('18','Факт/Среднесуточный/SAS/6 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-05-01 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
('18','Факт/Среднесуточный/SAS/6 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-06-30 00:00:00', '222.213123123', 'SAS', '8', '1', '1'),
('19','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('19','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('19','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('19','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('19','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-05-01 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
('19','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-06-01 00:00:00', '222.213123123', 'SAS', '8', '1', '1'),
('19','Факт/Среднесуточный/SAS/7 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-07-01 00:00:00', '112.3123213', 'SAS', '8', '1', '1'),
('20','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('20','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('20','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('20','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('20','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-05-01 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
('20','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-06-01 00:00:00', '222.213123123', 'SAS', '8', '1', '1'),
('20','Факт/Среднесуточный/SAS/7 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-07-09 00:00:00', '150.22424324', 'SAS', '8', '1', '1'),
('21','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('21','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('21','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('21','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('21','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-05-01 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
('21','Факт/Среднесуточный/SAS/7 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-06-01 00:00:00', '222.213123123', 'SAS', '8', '1', '1'),
('21','Факт/Среднесуточный/SAS/7 м года/последний день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-07-31 00:00:00', '240.334234234', 'SAS', '8', '1', '1'),
('22','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('22','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('22','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('22','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('22','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-05-01 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
('22','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-06-01 00:00:00', '222.213123123', 'SAS', '8', '1', '1'),
('22','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-07-01 00:00:00', '240.334234234', 'SAS', '8', '1', '1'),
('22','Факт/Среднесуточный/SAS/8 м года/первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-08-01 00:00:00', '112.34234234', 'SAS', '8', '1', '1'),
('23','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('23','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('23','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('23','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('23','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-05-01 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
('23','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-06-01 00:00:00', '222.213123123', 'SAS', '8', '1', '1'),
('23','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-07-01 00:00:00', '240.334234234', 'SAS', '8', '1', '1'),
('23','Факт/Среднесуточный/SAS/8 м года/не первый день месяца','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '3', '17', '228', '3', '38', '2018-08-09 00:00:00', '139.32323', 'SAS', '8', '1', '1'),
('24','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-01-01 00:00:00', '221.5465465456', 'SAS', '8', '1', '1'),
('24','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-02-01 00:00:00', '214.5465445', 'SAS', '8', '1', '1'),
('24','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-03-01 00:00:00', '202.2231231', 'SAS', '8', '1', '1'),
('24','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-04-01 00:00:00', '234.23232323', 'SAS', '8', '1', '1'),
('24','Факт/Среднесуточный/SAS/8 м года/целый месяц','00001','Погрузка (тыс.тонн/сутки)', 'тыс. тонн/сутки', '90', '51', '127', '86', '4', '17', '228', '7', '38', '2018-05-01 00:00:00', '215.343242342', 'SAS', '8', '1', '1'),
